N047.16.43.109 E005.05.26.479 E5
N047.16.48.688 E005.05.08.582 D
N047.15.51.533 E005.05.36.431 B
N047.15.59.259 E005.05.15.743 B
N047.15.24.015 E005.05.37.461 A
N047.16.31.211 E005.04.39.034 C
N047.15.52.140 E005.04.53.136 X
N047.15.52.432 E005.04.51.159 X
N047.15.53.881 E005.04.49.216 X
N047.16.11.803 E005.04.56.097 X
N047.16.10.673 E005.04.55.652 X
N047.16.08.117 E005.04.54.645 X
