N045.21.42.035 E005.18.35.725 S1
N045.21.40.295 E005.18.50.105 T1
N045.21.42.525 E005.18.59.205 S2
N045.21.40.075 E005.19.29.105 T2
N045.21.36.825 E005.19.46.385 TL
N045.21.41.715 E005.19.49.785 T3
N045.21.43.345 E005.19.56.115 S3
N045.21.41.765 E005.20.06.685 T4
N045.21.43.205 E005.20.17.095 S4
N045.21.41.635 E005.20.39.065 T5
N045.21.42.325 E005.20.53.365 S5
N045.21.49.645 E005.20.11.565 N7
N045.21.59.795 E005.20.06.475 N7
N045.21.57.015 E005.19.50.135 N6
N045.21.51.235 E005.19.55.555 N6
