[ARTCC]

                                         N047.16.24.717 W001.36.28.000 N047.16.20.624 W001.35.02.097
                                         N047.16.20.624 W001.35.02.097 N047.16.08.423 W001.33.37.866
                                         N047.16.08.423 W001.33.37.866 N047.15.48.355 W001.32.16.946
                                         N047.15.48.355 W001.32.16.946 N047.15.20.811 W001.31.00.913
                                         N047.15.20.811 W001.31.00.913 N047.14.46.332 W001.29.51.247
                                         N047.14.46.332 W001.29.51.247 N047.14.05.591 W001.28.49.302
                                         N047.14.05.591 W001.28.49.302 N047.13.19.386 W001.27.56.286
                                         N047.13.19.386 W001.27.56.286 N047.12.28.620 W001.27.13.230
                                         N047.12.28.620 W001.27.13.230 N047.11.34.283 W001.26.40.972
                                         N047.11.34.283 W001.26.40.972 N047.10.37.437 W001.26.20.139
                                         N047.10.37.437 W001.26.20.139 N047.09.39.188 W001.26.11.138
                                         N047.09.39.188 W001.26.11.138 N047.08.40.673 W001.26.14.143
                                         N047.08.40.673 W001.26.14.143 N047.07.43.028 W001.26.29.097
                                         N047.07.43.028 W001.26.29.097 N047.06.47.376 W001.26.55.707
                                         N047.06.47.376 W001.26.55.707 N047.05.54.797 W001.27.33.456
                                         N047.05.54.797 W001.27.33.456 N047.05.06.311 W001.28.21.609
                                         N047.05.06.311 W001.28.21.609 N047.04.22.859 W001.29.19.230
                                         N047.04.22.859 W001.29.19.230 N047.03.45.283 W001.30.25.196
                                         N047.03.45.283 W001.30.25.196 N047.03.14.311 W001.31.38.224
                                         N047.03.14.311 W001.31.38.224 N047.02.50.542 W001.32.56.892
                                         N047.02.50.542 W001.32.56.892 N047.02.44.000 W001.33.26.000
                                         N047.02.44.000 W001.33.26.000 N047.00.40.000 W001.43.11.000
                                         N047.00.40.000 W001.43.11.000 N047.07.19.000 W001.46.15.000
