[ARTCC]

TMA LFML TMA 15 Provence                 N043.25.13.000 E005.29.22.000 N043.10.01.000 E005.29.16.000
                                         N043.10.01.000 E005.29.16.000 N043.10.01.000 E005.24.32.000
                                         N043.10.01.000 E005.24.32.000 N043.24.08.000 E005.24.32.000
                                         N043.24.08.000 E005.24.32.000 N043.25.13.000 E005.29.22.000

TMA LFML TMA 16 Provence                 N043.31.25.000 E005.01.52.000 N043.24.00.000 E005.03.30.000
                                         N043.24.00.000 E005.03.30.000 N043.20.46.000 E005.05.29.000
                                         N043.20.46.000 E005.05.29.000 N043.15.10.000 E005.10.47.000
                                         N043.15.10.000 E005.10.47.000 N043.15.10.000 E005.24.32.000
                                         N043.15.10.000 E005.24.32.000 N043.10.01.000 E005.24.32.000
                                         N043.10.01.000 E005.24.32.000 N043.10.00.000 E004.32.59.000
                                         N043.10.00.000 E004.32.59.000 N043.15.10.000 E004.41.17.000
                                         N043.15.10.000 E004.41.17.000 N043.20.20.000 E004.49.38.000
                                         N043.20.20.000 E004.49.38.000 N043.21.34.000 E004.51.40.000
                                         N043.21.34.000 E004.51.40.000 N043.24.43.000 E004.57.00.000
                                         N043.24.43.000 E004.57.00.000 N043.24.59.000 E004.57.30.000
                                         N043.24.59.000 E004.57.30.000 N043.25.00.465 E004.57.31.973
                                         N043.25.00.465 E004.57.31.973 N043.26.14.404 E004.59.13.981
                                         N043.26.14.404 E004.59.13.981 N043.27.40.059 E005.00.36.726
                                         N043.27.40.059 E005.00.36.726 N043.29.03.000 E005.01.31.000
                                         N043.29.03.000 E005.01.31.000 N043.29.52.000 E005.01.43.000
                                         N043.29.52.000 E005.01.43.000 N043.30.07.915 E005.01.47.327
                                         N043.30.07.915 E005.01.47.327 N043.30.59.998 E005.01.53.611
                                         N043.30.59.998 E005.01.53.611 N043.31.25.000 E005.01.52.000

TMA LFML TMA 17 Provence                 N043.48.00.000 E004.38.38.000 N043.42.37.000 E004.47.16.000
                                         N043.42.37.000 E004.47.16.000 N043.25.59.000 E004.56.19.000
                                         N043.25.59.000 E004.56.19.000 N043.22.29.000 E004.44.15.000
                                         N043.22.29.000 E004.44.15.000 N043.21.52.000 E004.45.48.000
                                         N043.21.52.000 E004.45.48.000 N043.20.20.000 E004.49.38.000
                                         N043.20.20.000 E004.49.38.000 N043.15.10.000 E004.41.17.000
                                         N043.15.10.000 E004.41.17.000 N043.10.00.000 E004.32.59.000
                                         N043.10.00.000 E004.32.59.000 N043.09.58.000 E004.28.56.000
                                         N043.09.58.000 E004.28.56.000 N043.15.10.000 E004.29.10.000
                                         N043.15.10.000 E004.29.10.000 N043.26.02.000 E004.29.40.000
                                         N043.26.02.000 E004.29.40.000 N043.28.12.000 E004.29.46.000
                                         N043.28.12.000 E004.29.46.000 N043.33.41.000 E004.30.01.000
                                         N043.33.41.000 E004.30.01.000 N043.48.00.000 E004.38.38.000

TMA LFML TMA 18 Provence                 N043.37.31.000 E004.09.38.000 N043.33.41.000 E004.30.01.000
                                         N043.33.41.000 E004.30.01.000 N043.17.06.000 E004.29.16.000
                                         N043.17.06.000 E004.29.16.000 N043.23.38.000 E004.12.30.000
                                         N043.23.38.000 E004.12.30.000 N043.30.00.000 E004.18.30.000
                                         N043.30.00.000 E004.18.30.000 N043.37.31.000 E004.09.38.000

TMA LFML TMA 19 Provence                 N044.26.17.000 E004.38.09.000 N044.25.00.000 E004.39.00.000
                                         N044.25.00.000 E004.39.00.000 N044.07.31.000 E004.35.59.000
                                         N044.07.31.000 E004.35.59.000 N044.01.53.000 E004.31.13.000
                                         N044.01.53.000 E004.31.13.000 N044.02.00.000 E004.20.11.000
                                         N044.02.00.000 E004.20.11.000 N044.26.17.000 E004.38.09.000

TMA LFML TMA 20 Provence                 N043.38.42.000 E005.17.48.000 N043.40.51.000 E005.26.34.000
                                         N043.40.51.000 E005.26.34.000 N043.38.33.000 E005.27.27.000
                                         N043.38.33.000 E005.27.27.000 N043.32.13.000 E005.33.30.000
                                         N043.32.13.000 E005.33.30.000 N043.34.20.000 E005.22.19.000
                                         N043.34.20.000 E005.22.19.000 N043.33.44.000 E005.20.11.000
                                         N043.33.44.000 E005.20.11.000 N043.33.50.000 E005.19.30.000
                                         N043.33.50.000 E005.19.30.000 N043.38.42.000 E005.17.48.000

TMA LFML TMA 2 Provence                  N043.41.09.000 E004.58.39.000 N043.41.05.000 E005.16.57.000
                                         N043.41.05.000 E005.16.57.000 N043.36.16.000 E005.18.40.000
                                         N043.36.16.000 E005.18.40.000 N043.36.15.000 E005.02.52.000
                                         N043.36.15.000 E005.02.52.000 N043.38.23.000 E005.02.12.000
                                         N043.38.23.000 E005.02.12.000 N043.38.23.000 E004.59.52.000
                                         N043.38.23.000 E004.59.52.000 N043.41.09.000 E004.58.39.000

TMA LFML TMA 3 Provence                  N043.53.21.000 E005.12.39.000 N043.52.19.000 E005.21.55.000
                                         N043.52.19.000 E005.21.55.000 N043.40.51.000 E005.26.34.000
                                         N043.40.51.000 E005.26.34.000 N043.38.42.000 E005.17.48.000
                                         N043.38.42.000 E005.17.48.000 N043.42.37.000 E005.16.26.000
                                         N043.42.37.000 E005.16.26.000 N043.53.21.000 E005.12.39.000

TMA LFML TMA 4.1 Provence                N043.24.43.000 E004.57.00.000 N043.21.34.000 E004.51.40.000
                                         N043.21.34.000 E004.51.40.000 N043.20.20.000 E004.49.38.000
                                         N043.20.20.000 E004.49.38.000 N043.21.52.000 E004.45.48.000
                                         N043.21.52.000 E004.45.48.000 N043.22.29.000 E004.44.15.000
                                         N043.22.29.000 E004.44.15.000 N043.25.59.000 E004.56.19.000
                                         N043.25.59.000 E004.56.19.000 N043.24.43.000 E004.57.00.000

TMA LFML TMA 4.2 Provence                N043.24.43.000 E004.57.00.000 N043.21.34.000 E004.51.40.000
                                         N043.21.34.000 E004.51.40.000 N043.20.20.000 E004.49.38.000
                                         N043.20.20.000 E004.49.38.000 N043.21.52.000 E004.45.48.000
                                         N043.21.52.000 E004.45.48.000 N043.22.29.000 E004.44.15.000
                                         N043.22.29.000 E004.44.15.000 N043.25.59.000 E004.56.19.000
                                         N043.25.59.000 E004.56.19.000 N043.24.43.000 E004.57.00.000

TMA LFML TMA 5.1 Provence                N043.42.37.000 E004.47.16.000 N043.34.17.000 E005.00.12.000
                                         N043.34.17.000 E005.00.12.000 N043.34.12.795 E005.00.16.844
                                         N043.34.12.795 E005.00.16.844 N043.33.29.968 E005.00.58.198
                                         N043.33.29.968 E005.00.58.198 N043.32.42.584 E005.01.28.667
                                         N043.32.42.584 E005.01.28.667 N043.31.52.082 E005.01.47.327
                                         N043.31.52.082 E005.01.47.327 N043.30.59.998 E005.01.53.611
                                         N043.30.59.998 E005.01.53.611 N043.30.07.915 E005.01.47.327
                                         N043.30.07.915 E005.01.47.327 N043.29.52.000 E005.01.43.000
                                         N043.29.52.000 E005.01.43.000 N043.29.03.000 E005.01.31.000
                                         N043.29.03.000 E005.01.31.000 N043.27.40.059 E005.00.36.726
                                         N043.27.40.059 E005.00.36.726 N043.26.14.404 E004.59.13.981
                                         N043.26.14.404 E004.59.13.981 N043.25.00.465 E004.57.31.973
                                         N043.25.00.465 E004.57.31.973 N043.24.59.000 E004.57.30.000
                                         N043.24.59.000 E004.57.30.000 N043.24.43.000 E004.57.00.000
                                         N043.24.43.000 E004.57.00.000 N043.25.59.000 E004.56.19.000
                                         N043.25.59.000 E004.56.19.000 N043.42.37.000 E004.47.16.000

TMA LFML TMA 5.2 Provence                N043.42.37.000 E004.47.16.000 N043.34.17.000 E005.00.12.000
                                         N043.34.17.000 E005.00.12.000 N043.34.12.795 E005.00.16.844
                                         N043.34.12.795 E005.00.16.844 N043.33.29.968 E005.00.58.198
                                         N043.33.29.968 E005.00.58.198 N043.32.42.584 E005.01.28.667
                                         N043.32.42.584 E005.01.28.667 N043.31.52.082 E005.01.47.327
                                         N043.31.52.082 E005.01.47.327 N043.30.59.998 E005.01.53.611
                                         N043.30.59.998 E005.01.53.611 N043.30.07.915 E005.01.47.327
                                         N043.30.07.915 E005.01.47.327 N043.29.52.000 E005.01.43.000
                                         N043.29.52.000 E005.01.43.000 N043.29.03.000 E005.01.31.000
                                         N043.29.03.000 E005.01.31.000 N043.27.40.059 E005.00.36.726
                                         N043.27.40.059 E005.00.36.726 N043.26.14.404 E004.59.13.981
                                         N043.26.14.404 E004.59.13.981 N043.25.00.465 E004.57.31.973
                                         N043.25.00.465 E004.57.31.973 N043.24.59.000 E004.57.30.000
                                         N043.24.59.000 E004.57.30.000 N043.24.43.000 E004.57.00.000
                                         N043.24.43.000 E004.57.00.000 N043.25.59.000 E004.56.19.000
                                         N043.25.59.000 E004.56.19.000 N043.42.37.000 E004.47.16.000

TMA LFML TMA 6 Provence                  N043.32.13.000 E005.33.30.000 N043.29.06.000 E005.53.28.000
                                         N043.29.06.000 E005.53.28.000 N043.28.14.000 E005.59.00.000
                                         N043.28.14.000 E005.59.00.000 N043.08.38.000 E006.01.30.000
                                         N043.08.38.000 E006.01.30.000 N043.10.30.000 E005.52.00.000
                                         N043.10.30.000 E005.52.00.000 N043.02.00.000 E005.38.00.000
                                         N043.02.00.000 E005.38.00.000 N043.10.00.000 E005.38.00.000
                                         N043.10.00.000 E005.38.00.000 N043.10.01.000 E005.29.16.000
                                         N043.10.01.000 E005.29.16.000 N043.25.13.000 E005.29.22.000
                                         N043.25.13.000 E005.29.22.000 N043.24.47.000 E005.33.30.000
                                         N043.24.47.000 E005.33.30.000 N043.32.13.000 E005.33.30.000

TMA LFML TMA 6.1 Provence                N043.30.54.000 E005.42.02.000 N043.28.14.000 E005.59.00.000
                                         N043.28.14.000 E005.59.00.000 N043.08.38.000 E006.01.30.000
                                         N043.08.38.000 E006.01.30.000 N043.19.01.000 E005.53.28.000
                                         N043.19.01.000 E005.53.28.000 N043.28.20.000 E005.41.30.000
                                         N043.28.20.000 E005.41.30.000 N043.30.54.000 E005.42.02.000

TMA LFML TMA 7 Provence                  N043.10.00.000 E004.32.59.000 N043.10.00.000 E005.38.00.000
                                         N043.10.00.000 E005.38.00.000 N043.02.00.000 E005.38.00.000
                                         N043.02.00.000 E005.38.00.000 N042.46.23.000 E005.10.40.000
                                         N042.46.23.000 E005.10.40.000 N042.46.11.469 E005.05.13.000
                                         N042.46.11.469 E005.05.13.000 N042.46.45.188 E004.56.22.658
                                         N042.46.45.188 E004.56.22.658 N042.48.25.323 E004.47.48.430
                                         N042.48.25.323 E004.47.48.430 N042.51.08.829 E004.39.45.941
                                         N042.51.08.829 E004.39.45.941 N042.54.50.740 E004.32.29.851
                                         N042.54.50.740 E004.32.29.851 N042.59.24.312 E004.26.13.410
                                         N042.59.24.312 E004.26.13.410 N043.03.24.000 E004.22.26.000
                                         N043.03.24.000 E004.22.26.000 N043.10.00.000 E004.32.59.000

TMA LFML TMA 8 Provence                  N044.07.31.000 E004.35.59.000 N044.01.53.000 E004.31.14.000
                                         N044.01.53.000 E004.31.14.000 N043.56.45.000 E004.33.00.000
                                         N043.56.45.000 E004.33.00.000 N043.51.30.000 E004.33.06.000
                                         N043.51.30.000 E004.33.06.000 N043.49.09.000 E004.36.48.000
                                         N043.49.09.000 E004.36.48.000 N043.42.37.000 E004.47.14.000
                                         N043.42.37.000 E004.47.14.000 N043.42.37.000 E004.58.00.000
                                         N043.42.37.000 E004.58.00.000 N043.41.09.000 E004.58.39.000
                                         N043.41.09.000 E004.58.39.000 N043.41.05.000 E005.16.57.000
                                         N043.41.05.000 E005.16.57.000 N043.53.21.000 E005.12.39.000
                                         N043.53.21.000 E005.12.39.000 N043.56.20.000 E005.02.20.000
                                         N043.56.20.000 E005.02.20.000 N043.54.50.000 E004.59.35.000
                                         N043.54.50.000 E004.59.35.000 N043.49.00.000 E004.58.30.000
                                         N043.49.00.000 E004.58.30.000 N043.48.20.000 E004.50.30.000
                                         N043.48.20.000 E004.50.30.000 N043.49.00.000 E004.46.50.000
                                         N043.49.00.000 E004.46.50.000 N044.00.44.000 E004.45.55.000
                                         N044.00.44.000 E004.45.55.000 N044.07.31.000 E004.35.59.000

TMA LFML TMA 9.1 Provence                N043.51.43.000 E004.59.00.000 N043.49.58.000 E005.03.01.000
                                         N043.49.58.000 E005.03.01.000 N043.41.08.000 E005.06.37.000
                                         N043.41.08.000 E005.06.37.000 N043.41.05.000 E005.16.58.000
                                         N043.41.05.000 E005.16.58.000 N043.53.21.000 E005.12.39.000
                                         N043.53.21.000 E005.12.39.000 N043.56.20.000 E005.02.20.000
                                         N043.56.20.000 E005.02.20.000 N043.54.50.000 E004.59.35.000
                                         N043.54.50.000 E004.59.35.000 N043.51.43.000 E004.59.00.000

TMA LFML TMA 9.2 Provence                N044.00.44.000 E004.45.55.000 N043.49.00.000 E004.46.50.000
                                         N043.49.00.000 E004.46.50.000 N043.48.01.000 E004.38.37.000
                                         N043.48.01.000 E004.38.37.000 N043.51.29.000 E004.33.07.000
                                         N043.51.29.000 E004.33.07.000 N043.56.45.000 E004.33.00.000
                                         N043.56.45.000 E004.33.00.000 N044.00.44.000 E004.45.55.000

TMA LFML TMA 9.3 Provence                N044.07.31.000 E004.35.59.000 N044.01.53.000 E004.31.14.000
                                         N044.01.53.000 E004.31.14.000 N043.56.45.000 E004.33.00.000
                                         N043.56.45.000 E004.33.00.000 N044.00.44.000 E004.45.56.000
                                         N044.00.44.000 E004.45.56.000 N044.07.31.000 E004.35.59.000
