
COLOR_GrasSurface
COLOR_HardSurface2
N048.35.23.766 W002.05.25.469
N048.35.22.389 W002.05.24.460
N048.35.23.492 W002.05.21.272
N048.35.24.284 W002.05.23.738


COLOR_HardSurface2
N048.35.31.933 W002.05.10.278
N048.35.37.415 W002.05.08.311
N048.35.40.883 W002.05.06.776
N048.35.41.342 W002.05.06.608
N048.35.41.629 W002.05.06.281
N048.35.41.972 W002.05.05.737
N048.35.42.179 W002.05.05.020
N048.35.42.221 W002.05.04.649
N048.35.42.241 W002.05.02.189
N048.35.42.828 W002.05.02.199
N048.35.42.821 W002.05.05.387
N048.35.42.886 W002.05.05.640
N048.35.43.068 W002.05.05.761
N048.35.43.290 W002.05.05.769
N048.35.45.557 W002.05.05.379
N048.35.46.155 W002.05.07.907
N048.35.36.954 W002.05.12.375
N048.35.36.681 W002.05.11.322
N048.35.30.370 W002.05.13.678
N048.35.30.028 W002.05.11.624
N048.35.29.699 W002.05.11.737
N048.35.29.416 W002.05.11.974
N048.35.29.159 W002.05.12.278
N048.35.28.945 W002.05.12.611
N048.35.28.763 W002.05.13.010
N048.35.28.520 W002.05.13.687
N048.35.28.307 W002.05.14.333
N048.35.28.236 W002.05.14.671
N048.35.28.226 W002.05.14.993
N048.35.28.246 W002.05.15.331
N048.35.28.307 W002.05.15.685
N048.35.28.429 W002.05.15.946
N048.35.31.960 W002.05.19.901
N048.35.32.235 W002.05.19.361
N048.35.32.987 W002.05.20.272
N048.35.32.072 W002.05.22.056
N048.35.31.334 W002.05.21.185
N048.35.31.603 W002.05.20.621
N048.35.28.474 W002.05.17.247
N048.35.28.336 W002.05.17.132
N048.35.28.150 W002.05.17.091
N048.35.28.017 W002.05.17.092
N048.35.27.827 W002.05.17.190
N048.35.27.287 W002.05.15.355
N048.35.28.292 W002.05.12.401
N048.35.28.362 W002.05.12.225
N048.35.28.785 W002.05.11.547
N048.35.28.967 W002.05.11.420


COLOR_HardSurface2
N048.35.11.641 W002.04.21.951
N048.35.10.116 W002.04.17.210
N048.35.12.045 W002.04.15.828
N048.35.13.980 W002.04.21.692
N048.35.11.948 W002.04.23.116
N048.35.11.674 W002.04.22.201


COLOR_HardSurface2
N048.35.13.783 W002.04.28.550
N048.35.13.952 W002.04.28.143
N048.35.14.227 W002.04.27.520
N048.35.14.527 W002.04.26.694
N048.35.14.973 W002.04.25.357
N048.35.15.018 W002.04.25.179
N048.35.15.221 W002.04.25.859
N048.35.14.921 W002.04.26.773
N048.35.14.671 W002.04.27.470
N048.35.14.259 W002.04.28.351
N048.35.13.961 W002.04.28.921
N048.35.13.767 W002.04.29.286
N048.35.13.554 W002.04.28.974


COLOR_HardSurface2
N048.35.15.959 W002.04.32.708
N048.35.16.144 W002.04.32.708
N048.35.16.271 W002.04.32.628
N048.35.16.341 W002.04.32.404
N048.35.16.357 W002.04.32.140
N048.35.15.214 W002.04.28.423
N048.35.15.983 W002.04.27.903
N048.35.17.272 W002.04.32.172
N048.35.17.185 W002.04.32.661
N048.35.17.183 W002.04.32.777
N048.35.17.236 W002.04.32.844
N048.35.17.426 W002.04.32.877
N048.35.17.355 W002.04.33.439
N048.35.14.856 W002.04.32.723
N048.35.14.870 W002.04.32.460


COLOR_HardSurface2
N048.35.21.190 W002.04.36.010
N048.35.26.473 W002.04.37.343
N048.35.26.584 W002.04.37.310
N048.35.26.643 W002.04.37.200
N048.35.26.843 W002.04.34.764
N048.35.27.764 W002.04.34.950
N048.35.27.507 W002.04.37.449
N048.35.27.539 W002.04.37.589
N048.35.27.637 W002.04.37.708
N048.35.28.533 W002.04.37.945
N048.35.28.629 W002.04.37.864
N048.35.28.688 W002.04.37.704
N048.35.28.693 W002.04.37.511
N048.35.28.774 W002.04.37.293
N048.35.28.896 W002.04.37.124
N048.35.29.062 W002.04.37.035
N048.35.29.237 W002.04.37.068
N048.35.29.434 W002.04.37.140
N048.35.29.589 W002.04.37.108
N048.35.29.680 W002.04.36.979
N048.35.29.702 W002.04.36.785
N048.35.29.515 W002.04.36.737
N048.35.29.626 W002.04.35.483
N048.35.30.235 W002.04.35.605
N048.35.30.144 W002.04.36.826
N048.35.29.947 W002.04.36.810
N048.35.29.930 W002.04.37.060
N048.35.29.844 W002.04.37.277
N048.35.29.710 W002.04.37.470
N048.35.29.497 W002.04.37.519
N048.35.29.263 W002.04.37.454
N048.35.29.050 W002.04.37.446
N048.35.28.949 W002.04.37.567
N048.35.28.922 W002.04.37.752
N048.35.28.921 W002.04.37.904
N048.35.29.043 W002.04.38.089
N048.35.32.380 W002.04.38.990
N048.35.31.890 W002.04.42.661
N048.35.29.931 W002.04.42.109
N048.35.22.894 W002.04.40.233
N048.35.20.755 W002.04.39.716


COLOR_HardSurface2
N048.35.11.446 W002.04.13.116
N048.35.11.601 W002.04.13.440
N048.35.11.159 W002.04.13.742
N048.35.11.523 W002.04.14.919
N048.35.11.072 W002.04.15.213
N048.35.10.522 W002.04.13.329
N048.35.10.427 W002.04.13.096
N048.35.10.273 W002.04.12.924
N048.35.10.828 W002.04.12.445


COLOR_HardSurface1
N048.35.11.364 W002.04.22.734
N048.35.11.525 W002.04.22.613
N048.35.11.618 W002.04.22.389
N048.35.11.666 W002.04.22.115
N048.35.11.997 W002.04.23.098
N048.35.10.897 W002.04.23.827
N048.35.10.697 W002.04.23.213


COLOR_HardSurface1
N048.35.13.557 W002.04.28.957
N048.35.13.782 W002.04.29.261
N048.35.13.165 W002.04.30.267
N048.35.12.956 W002.04.29.969


COLOR_HardSurface1
N048.35.14.905 W002.04.32.463
N048.35.14.872 W002.04.32.741
N048.35.13.561 W002.04.32.394
N048.35.13.590 W002.04.32.113


COLOR_HardSurface1
N048.35.20.754 W002.04.39.687
N048.35.22.900 W002.04.40.229
N048.35.22.571 W002.04.40.174
N048.35.22.341 W002.04.40.213
N048.35.22.158 W002.04.40.284
N048.35.21.887 W002.04.40.465
N048.35.21.590 W002.04.40.810
N048.35.21.284 W002.04.41.310
N048.35.21.185 W002.04.41.545
N048.35.21.129 W002.04.41.740
N048.35.20.560 W002.04.41.597


COLOR_HardSurface1
N048.35.31.655 W002.04.44.511
N048.35.31.041 W002.04.44.329
N048.35.31.034 W002.04.44.084
N048.35.31.007 W002.04.43.788
N048.35.30.892 W002.04.43.409
N048.35.30.723 W002.04.43.051
N048.35.30.540 W002.04.42.672
N048.35.30.343 W002.04.42.395
N048.35.30.167 W002.04.42.211
