N048.35.10.628 W002.04.22.763 A
N048.35.12.839 W002.04.29.605 B
N048.35.08.145 W002.04.12.909 D
N048.35.43.180 W002.05.02.136 G
N048.35.30.101 W002.05.10.650 S1
N048.35.28.070 W002.05.12.361 E1
N048.35.29.780 W002.05.17.197 E2
N048.35.27.161 W002.05.14.996 E
N048.35.23.312 W002.05.21.217 F
N048.35.32.236 W002.04.45.548 H
N048.35.19.847 W002.04.41.993 J
N048.35.13.586 W002.04.33.059 C
