N046.51.19.718 E001.43.41.258 1
N046.51.17.012 E001.43.38.884 2
N046.51.14.090 E001.43.40.388 3
N046.51.02.185 E001.43.34.215 4
N046.51.01.428 E001.43.29.704 5
N046.50.58.073 E001.43.28.201 6
N046.50.53.744 E001.43.16.567 7
N046.50.50.064 E001.43.13.244 8
N046.51.06.785 E001.42.51.481 X
N046.50.49.793 E001.43.17.992 X
N046.51.05.594 E001.43.43.870 X
N046.51.15.226 E001.43.51.230 X
