N048.28.37.000 E007.45.07.000 E
N048.41.23.000 E007.29.56.000 W
N048.33.51.000 E007.36.00.000 WA
N048.31.30.000 E007.39.55.000 EA
N048.44.54.000 E007.41.03.000 N
N048.34.10.000 E007.31.41.000 W1
N048.36.10.000 E007.35.45.000 WB
N048.19.16.000 E007.29.18.000 S
N048.34.25.000 E007.48.06.000 N1
N048.31.12.000 E007.29.52.000 W2
N048.41.02.000 E007.52.32.000 NE
