N041.30.34.357:E009.06.27.291 23
N041.29.43.036:E009.05.12.473 05
N041.30.03.315:E009.05.54.118 A
N041.30.02.709:E009.05.53.246 B
N041.30.06.089:E009.05.51.913 C
N041.30.12.030:E009.06.00.670 K
N041.30.10.500:E009.06.02.410 K1
N041.30.08.730:E009.05.44.221 O
N041.30.05.736:E009.05.39.735 P
N041.30.08.960:E009.05.58.510 H
