N049.10.58.720 W000.27.37.210 1
N049.10.57.560 W000.27.34.870 2
N049.10.56.430 W000.27.32.240 3
N049.10.55.310 W000.27.29.630 4
N049.10.54.100 W000.27.27.090 5
N049.10.52.850 W000.27.24.580 6
N049.10.53.814 W000.27.35.066 Parking Herbe
N049.11.00.057 W000.27.34.632 Terminal
N049.10.56.282 W000.27.26.554 TWR
N049.10.51.949 W000.27.17.025 ACB
N049.10.47.681 W000.27.08.225 Hangars
