
COLOR_GrasSurface          
N043.33.06.427 E006.57.12.474
N043.33.13.153 E006.57.11.268
N043.33.13.098 E006.57.10.686
N043.33.13.506 E006.57.10.612
N043.33.13.555 E006.57.10.156
N043.33.13.911 E006.57.10.296
N043.33.14.364 E006.57.07.379
N043.33.19.087 E006.57.06.510
N043.33.22.589 E006.57.05.869
N043.33.22.490 E006.57.04.752
N043.33.22.571 E006.57.04.493
N043.33.22.669 E006.57.04.303
N043.33.22.777 E006.57.04.165
N043.33.22.899 E006.57.04.079
N043.33.23.052 E006.57.04.043
N043.33.24.811 E006.57.03.727
N043.33.24.926 E006.57.02.674
N043.33.24.996 E006.57.01.988
N043.33.25.036 E006.57.01.354
N043.33.25.035 E006.57.00.718
N043.33.25.012 E006.57.00.118
N043.33.24.977 E006.56.59.559
N043.33.24.912 E006.56.58.983
N043.33.24.822 E006.56.58.395
N043.33.24.708 E006.56.57.798
N043.33.24.563 E006.56.57.200
N043.33.24.400 E006.56.56.632
N043.33.24.203 E006.56.56.071
N043.33.24.018 E006.56.55.565
N043.33.23.775 E006.56.55.012
N043.33.23.396 E006.56.54.212
N043.33.23.182 E006.56.53.864

COLOR_Terrain1
N043.32.58.328 E006.57.03.200
N043.32.58.438 E006.57.03.249
N043.32.58.561 E006.57.03.325
N043.32.58.652 E006.57.03.397
N043.32.58.735 E006.57.03.482
N043.32.58.820 E006.57.03.594
N043.32.58.880 E006.57.03.693
N043.32.58.943 E006.57.03.824
N043.32.58.995 E006.57.03.965
N043.32.59.038 E006.57.04.122
N043.32.59.062 E006.57.04.265
N043.32.59.245 E006.57.06.149
N043.32.59.263 E006.57.06.340
N043.32.59.269 E006.57.06.505
N043.32.59.259 E006.57.06.678
N043.32.59.222 E006.57.06.870
N043.32.59.177 E006.57.07.031
N043.32.59.119 E006.57.07.192
N043.32.59.040 E006.57.07.339
N043.32.58.947 E006.57.07.471
N043.32.58.845 E006.57.07.584
N043.32.58.728 E006.57.07.687
N043.32.58.601 E006.57.07.791
N043.32.58.994 E006.57.07.698
N043.32.59.387 E006.57.07.435
N043.32.59.628 E006.57.07.099
N043.32.59.222 E006.57.02.954
N043.32.58.825 E006.57.03.018
N043.32.58.229 E006.57.03.137

COLOR_HardSurface4
N043.33.18.885 E006.57.03.648
N043.33.18.854 E006.57.03.375
N043.33.18.769 E006.57.02.982
N043.33.18.721 E006.57.02.856
N043.33.18.653 E006.57.02.793
N043.33.18.591 E006.57.02.770
N043.33.18.527 E006.57.02.772
N043.33.17.963 E006.57.02.861
N043.33.16.750 E006.57.03.052
N043.33.16.529 E006.57.03.106
N043.33.16.432 E006.57.03.152
N043.33.16.508 E006.57.03.971
N043.33.16.811 E006.57.03.933
N043.33.17.173 E006.57.04.581
N043.33.18.407 E006.57.04.279
N043.33.18.678 E006.57.04.235
N043.33.18.925 E006.57.04.172
N043.33.18.934 E006.57.04.135

COLOR_HardSurface4
N043.32.53.565 E006.57.12.710
N043.32.43.764 E006.57.14.516
N043.32.44.595 E006.57.15.698
N043.32.45.047 E006.57.15.290
N043.32.55.215 E006.57.29.164
N043.32.56.216 E006.57.29.488
N043.32.55.019 E006.57.31.328
N043.32.55.321 E006.57.31.662
N043.32.56.292 E006.57.30.313
N043.32.56.530 E006.57.30.039
N043.32.56.558 E006.57.30.020
N043.32.56.575 E006.57.30.026
N043.32.56.592 E006.57.30.047
N043.32.56.607 E006.57.30.089
N043.32.56.697 E006.57.27.899
N043.32.56.468 E006.57.27.603
N043.32.56.490 E006.57.27.668
N043.32.56.511 E006.57.27.768
N043.32.56.515 E006.57.27.839
N043.32.56.506 E006.57.27.868
N043.32.55.662 E006.57.28.705
N043.32.55.623 E006.57.28.761
N043.32.55.577 E006.57.28.815
N043.32.55.467 E006.57.28.900
N043.32.55.427 E006.57.28.927
N043.32.55.398 E006.57.28.929
N043.32.55.349 E006.57.28.899
N043.32.55.306 E006.57.28.858
N043.32.55.291 E006.57.28.812
N043.32.55.287 E006.57.28.767
N043.32.55.275 E006.57.28.730
N043.32.53.529 E006.57.26.210
N043.32.51.572 E006.57.23.515
N043.32.49.491 E006.57.20.660
N043.32.47.565 E006.57.18.013
N043.32.47.235 E006.57.17.570
N043.32.47.326 E006.57.17.441
N043.32.47.029 E006.57.17.024
N043.32.47.049 E006.57.16.998
N043.32.46.563 E006.57.16.304
N043.32.46.483 E006.57.16.382
N043.32.45.883 E006.57.15.581
N043.32.45.822 E006.57.14.937
N043.32.46.319 E006.57.14.813
N043.32.46.370 E006.57.14.757
N043.32.46.393 E006.57.14.697
N043.32.46.399 E006.57.14.635
N043.32.46.394 E006.57.14.499
N043.32.46.683 E006.57.14.459
N043.32.47.445 E006.57.14.328
N043.32.47.485 E006.57.14.323
N043.32.47.505 E006.57.14.335
N043.32.47.576 E006.57.14.399
N043.32.47.661 E006.57.14.442
N043.32.47.791 E006.57.14.437
N043.32.48.177 E006.57.14.360
N043.32.48.246 E006.57.14.340
N043.32.48.287 E006.57.14.297
N043.32.48.326 E006.57.14.238
N043.32.48.425 E006.57.14.058
N043.32.48.448 E006.57.14.034
N043.32.49.090 E006.57.13.918
N043.32.49.113 E006.57.14.130
N043.32.49.284 E006.57.14.101
N043.32.49.275 E006.57.14.007
N043.32.50.904 E006.57.13.704
N043.32.51.791 E006.57.13.542
N043.32.54.193 E006.57.13.141
N043.32.54.212 E006.57.12.622
N043.32.54.394 E006.57.12.474
N043.32.54.450 E006.57.12.267
N043.32.54.530 E006.57.12.199
N043.32.54.700 E006.57.12.104
N043.32.54.898 E006.57.12.007
N043.32.55.041 E006.57.11.940
N043.32.55.311 E006.57.11.769
N043.32.55.137 E006.57.09.966
N043.32.54.379 E006.57.10.107
N043.32.54.407 E006.57.11.428

COLOR_HardSurface4
N043.32.38.775 E006.57.16.550
N043.32.38.792 E006.57.16.622
N043.32.38.799 E006.57.16.694
N043.32.38.799 E006.57.16.764
N043.32.38.792 E006.57.16.840
N043.32.38.778 E006.57.16.913
N043.32.38.758 E006.57.16.995
N043.32.38.959 E006.57.17.323
N043.32.39.032 E006.57.17.270
N043.32.39.092 E006.57.17.248
N043.32.39.149 E006.57.17.241
N043.32.39.208 E006.57.17.250
N043.32.39.261 E006.57.17.268
N043.32.39.313 E006.57.17.295
N043.32.52.811 E006.57.36.002
N043.32.52.903 E006.57.36.146
N043.32.52.960 E006.57.36.274
N043.32.53.001 E006.57.36.427
N043.32.53.028 E006.57.36.581
N043.32.53.045 E006.57.36.730
N043.32.53.035 E006.57.36.891
N043.32.54.051 E006.57.35.162
N043.32.53.981 E006.57.35.194
N043.32.53.905 E006.57.35.225
N043.32.53.837 E006.57.35.235
N043.32.53.773 E006.57.35.223
N043.32.53.707 E006.57.35.209
N043.32.53.652 E006.57.35.187
N043.32.53.592 E006.57.35.142
N043.32.53.518 E006.57.35.067
N043.32.48.573 E006.57.28.224
N043.32.48.527 E006.57.28.133
N043.32.48.501 E006.57.28.059
N043.32.48.483 E006.57.27.985
N043.32.48.472 E006.57.27.898
N043.32.48.472 E006.57.27.792
N043.32.48.479 E006.57.27.706
N043.32.48.500 E006.57.27.596
N043.32.48.526 E006.57.27.500
N043.32.48.555 E006.57.27.431
N043.32.48.589 E006.57.27.366
N043.32.47.948 E006.57.27.058
N043.32.47.872 E006.57.27.052
N043.32.47.816 E006.57.27.040
N043.32.47.750 E006.57.27.010
N043.32.47.680 E006.57.26.965
N043.32.47.598 E006.57.26.878
N043.32.37.733 E006.57.13.206
N043.32.37.692 E006.57.13.150
N043.32.37.661 E006.57.13.088
N043.32.37.638 E006.57.13.013
N043.32.37.617 E006.57.12.927
N043.32.37.605 E006.57.12.832
N043.32.37.602 E006.57.12.744
N043.32.37.609 E006.57.12.663
N043.32.37.621 E006.57.12.587
N043.32.37.640 E006.57.12.510
N043.32.37.665 E006.57.12.445
N043.32.37.695 E006.57.12.382
N043.32.37.743 E006.57.12.287
N043.32.35.912 E006.57.12.613

COLOR_HardSurface4
N043.32.28.341 E006.57.17.870
N043.32.29.019 E006.57.17.769
N043.32.29.061 E006.57.17.693
N043.32.29.116 E006.57.17.603
N043.32.29.237 E006.57.17.452
N043.32.29.877 E006.57.16.658
N043.32.29.733 E006.57.15.584
N043.32.28.137 E006.57.15.819

COLOR_HardSurface4
N043.32.36.514 E006.57.18.424
N043.32.36.504 E006.57.18.452
N043.32.36.502 E006.57.18.492
N043.32.36.507 E006.57.18.550
N043.32.36.519 E006.57.18.601
N043.32.36.527 E006.57.18.643
N043.32.36.523 E006.57.18.699
N043.32.36.502 E006.57.18.738
N043.32.36.349 E006.57.18.939
N043.32.37.315 E006.57.20.261
