N048.22.40.435 E002.04.03.129 G1
N048.22.44.417 E002.04.12.102 G2
N048.22.48.424 E002.04.21.334 G3
N048.22.50.718 E002.04.26.608 G4
N048.22.53.275 E002.04.32.444 G5
N048.22.57.577 E002.04.42.234 G6
N048.23.01.428 E002.04.50.874 G7
N048.22.48.466 E002.04.26.088 G
N048.22.39.938 E002.04.15.616 W
N048.22.43.538 E002.04.21.621 A
N048.22.45.793 E002.04.32.151 D
N048.22.56.340 E002.04.50.988 B
N048.22.58.617 E002.04.54.522 E
N048.22.48.104 E002.04.56.502 S
N048.22.53.192 E002.04.45.752 T
