N043.39.43.474 E007.12.30.616 41E
N043.39.42.776 E007.12.31.208 43A
N043.39.42.493 E007.12.32.458 43B
N043.39.41.804 E007.12.31.138 43D
N043.39.41.644 E007.12.32.218 45A
N043.39.40.784 E007.12.32.360 45D
N043.39.39.925 E007.12.32.622 47A
N043.39.39.438 E007.12.32.563 47D
N043.39.34.306 E007.12.35.575 49A
N043.39.33.087 E007.12.34.587 49B
N043.39.31.960 E007.12.34.722 49C
N043.39.28.327 E007.12.28.579 51A
N043.39.28.107 E007.12.27.410 51B
N043.39.27.338 E007.12.27.048 51C
N043.39.26.765 E007.12.26.203 53A
N043.39.26.453 E007.12.25.237 53B
N043.39.25.587 E007.12.24.620 53C
N043.39.22.353 E007.12.20.259 71D
N043.39.21.730 E007.12.20.528 71A
N043.39.21.185 E007.12.19.365 71B
N043.39.21.241 E007.12.19.929 71E
N043.39.21.423 E007.12.18.709 71C
N043.39.21.107 E007.12.18.243 71F
N043.39.20.650 E007.12.17.521 73D
N043.39.19.780 E007.12.17.923 73A
N043.39.20.049 E007.12.16.876 73B
N043.39.19.375 E007.12.17.279 73E
N043.39.19.670 E007.12.16.006 73C
N043.39.19.319 E007.12.15.526 73F
N043.39.18.700 E007.12.15.035 75D
N043.39.18.055 E007.12.15.144 75A
N043.39.18.199 E007.12.14.369 75B
N043.39.17.493 E007.12.14.737 75E
N043.39.17.787 E007.12.13.438 75C
N043.39.17.384 E007.12.12.917 75F
N043.39.16.308 E007.12.11.814 77
N043.40.16.531 E007.13.36.142 Parking K
