N043.05.38.531 E006.08.29.591 A2
N043.05.41.443 E006.08.35.511 B2
N043.06.04.887 E006.09.15.544 C3
N043.06.15.371 E006.09.34.339 D3
N043.06.08.284 E006.09.29.677 T3
N043.05.52.364 E006.09.01.780 T3
N043.05.22.550 E006.09.08.504 T1
N043.06.18.687 E006.09.43.381 E3
N043.05.32.981 E006.09.16.454 T10
N043.05.26.584 E006.09.26.382 T8
N043.05.43.411 E006.08.46.385 T2
N043.05.39.068 E006.08.38.107 T2
N043.05.31.416 E006.08.50.348 T4
N043.05.39.728 E006.08.54.603 T4
N043.05.35.420 E006.08.44.151 T6
