; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.04.01.964 W001.43.52.267
N048.04.01.553 W001.43.52.669
N048.03.59.141 W001.43.56.336
N048.03.58.053 W001.43.58.023
N048.03.56.083 W001.44.00.822
N048.03.55.849 W001.44.00.483
N048.03.56.971 W001.43.58.712
N048.03.56.988 W001.43.58.429
N048.03.56.919 W001.43.58.106
N048.03.56.756 W001.43.57.795
N048.03.54.272 W001.43.54.942
N048.03.54.085 W001.43.55.309
N048.03.54.027 W001.43.55.245
N048.03.53.884 W001.43.55.520
N048.03.52.710 W001.43.54.161
N048.03.52.822 W001.43.53.941
N048.03.52.744 W001.43.53.844
N048.03.52.971 W001.43.53.426
N048.03.51.072 W001.43.51.170
N048.03.50.660 W001.43.50.801
N048.03.50.316 W001.43.50.660
N048.03.49.869 W001.43.50.723
N048.03.47.051 W001.43.51.471
N048.03.46.645 W001.43.51.734
N048.03.46.205 W001.43.52.202
N048.03.45.794 W001.43.52.730
N048.03.45.494 W001.43.53.298
N048.03.44.315 W001.43.55.699
N048.03.44.167 W001.43.56.046
N048.03.44.093 W001.43.56.269
N048.03.44.089 W001.43.56.557
N048.03.44.119 W001.43.56.917
N048.03.44.248 W001.43.57.250
N048.03.45.459 W001.43.59.717
N048.03.45.860 W001.44.00.625
N048.03.46.082 W001.44.01.267
N048.03.46.139 W001.44.01.548
N048.03.46.143 W001.44.01.930
N048.03.46.075 W001.44.03.277
N048.03.46.022 W001.44.03.620
N048.03.45.897 W001.44.04.111
N048.03.45.584 W001.44.03.734
N048.03.45.622 W001.44.03.610
N048.03.45.680 W001.44.03.292
N048.03.45.740 W001.44.02.742
N048.03.45.777 W001.44.01.634
N048.03.45.755 W001.44.01.401
N048.03.45.672 W001.44.01.083
N048.03.45.515 W001.44.00.707
N048.03.43.819 W001.43.57.276
N048.03.43.709 W001.43.57.032
N048.03.43.676 W001.43.56.667
N048.03.43.680 W001.43.56.312
N048.03.43.713 W001.43.55.997
N048.03.43.782 W001.43.55.697
N048.03.43.882 W001.43.55.390
N048.03.45.226 W001.43.52.841
N048.03.45.634 W001.43.52.142
N048.03.46.135 W001.43.51.606
N048.03.46.554 W001.43.51.234
N048.03.46.992 W001.43.50.997
N048.03.50.642 W001.43.50.001
N048.03.51.055 W001.43.49.872
N048.03.51.277 W001.43.49.624
N048.03.51.394 W001.43.49.219
N048.03.51.389 W001.43.48.751
N048.03.51.167 W001.43.48.151
N048.03.51.574 W001.43.47.999
N048.03.52.149 W001.43.48.908
N048.03.52.510 W001.43.49.202
N048.03.52.841 W001.43.49.350
N048.03.53.305 W001.43.49.272
N048.03.53.363 W001.43.49.842
N048.03.51.781 W001.43.50.244
N048.03.51.656 W001.43.50.540
N048.03.51.637 W001.43.50.768
N048.03.51.762 W001.43.51.090
N048.03.56.959 W001.43.57.124
N048.03.57.218 W001.43.57.353
N048.03.57.442 W001.43.57.406
N048.03.57.675 W001.43.57.353
N048.03.57.858 W001.43.57.238
N048.04.03.251 W001.43.49.061
N048.04.02.615 W001.43.48.063
N048.04.03.813 W001.43.46.216
N048.04.03.657 W001.43.46.009
N048.04.04.766 W001.43.44.419
N048.04.05.556 W001.43.45.464
N048.04.05.698 W001.43.45.826
N048.04.05.818 W001.43.46.864
N048.04.05.378 W001.43.47.158
N048.04.04.963 W001.43.47.583
N048.04.04.559 W001.43.48.099
N048.04.03.407 W001.43.49.877
N048.04.03.262 W001.43.50.253
N048.04.03.266 W001.43.50.661
N048.04.03.435 W001.43.50.959
N048.04.03.705 W001.43.51.060
N048.04.04.003 W001.43.51.052
N048.04.08.504 W001.43.49.759
N048.04.08.613 W001.43.49.687
N048.04.08.662 W001.43.49.572
