N049.20.30.120 E004.01.27.984 N2
N049.12.32.040 E004.03.01.008 WP
N049.04.19.920 E003.51.02.988 WS
N049.15.03.960 E004.13.09.984 S1
N049.23.30.120 E004.13.59.016 E1
N049.26.02.040 E003.57.51.984 N1
N049.22.09.840 E003.39.11.988 NW
N049.17.38.040 E004.05.17.988 S2
N049.28.54.840 E004.21.52.992 EN
N049.10.50.160 E003.47.56.004 W
N049.08.16.080 E003.34.40.008 CTL
