N046.10.46.325 W001.12.23.595 09
N046.10.44.454 W001.11.18.085 27
N046.10.41.684 W001.11.42.917 A
N046.10.37.228 W001.11.44.305 B
N046.10.37.409 W001.11.37.460 C
N046.10.36.335 W001.11.43.404 D
N046.10.37.765 W001.11.44.632 G
N046.10.39.074 W001.11.44.530 G1
N046.10.35.607 W001.11.43.338 X
N046.10.35.172 W001.11.43.890 X
N046.10.34.436 W001.11.42.951 X
