N045.12.53.892 E005.50.41.870 E1
N045.12.57.837 E005.50.47.178 E2
N045.12.59.928 E005.50.43.388 W1
N045.13.04.096 E005.50.55.547 E3
N045.13.06.179 E005.50.51.783 W2
N045.13.09.097 E005.51.02.144 E4
N045.13.11.165 E005.50.58.678 W3
N045.13.14.428 E005.51.09.371 E5
N045.13.03.918 E005.51.01.252 F
N045.13.01.728 E005.51.00.813 E
