N049.01.01.020 E002.32.59.270 R39
N049.00.59.920 E002.32.59.210 R04
N049.00.58.340 E002.32.59.790 R05
N049.00.57.890 E002.32.59.370 R06
N049.00.56.320 E002.33.00.040 R07
N049.00.54.880 E002.33.00.170 R08
N049.00.54.430 E002.32.59.810 R09
N049.00.52.950 E002.33.00.290 R10
N049.00.51.320 E002.33.01.060 R11
N049.00.50.180 E002.33.00.810 R12
N049.00.49.470 E002.33.01.710 R13
N049.00.47.720 E002.33.02.210 R14
N049.00.41.140 E002.33.10.500 Q01
N049.00.41.990 E002.33.13.560 Q02
N049.00.41.430 E002.33.14.570 Q03
N049.00.42.180 E002.33.15.480 Q04
N049.00.42.350 E002.33.17.480 Q05
N049.00.41.610 E002.33.18.440 Q06
N049.00.42.400 E002.33.19.420 Q07
N049.00.42.500 E002.33.21.360 Q08
N049.00.41.870 E002.33.22.500 Q09
N049.00.42.600 E002.33.23.380 Q10
N049.00.42.000 E002.33.25.450 Q11
N049.00.48.500 E002.33.23.940 Q12
N049.00.49.330 E002.33.23.080 Q13
N049.00.48.120 E002.33.21.740 Q14
N049.00.49.260 E002.33.20.360 Q15
N049.00.47.990 E002.33.19.450 Q16
N049.00.48.110 E002.33.16.880 Q17
N049.00.48.900 E002.33.15.840 Q18
N049.00.47.790 E002.33.14.640 Q19
N049.00.48.840 E002.33.13.160 Q20
N049.00.47.620 E002.33.12.330 Q21
N049.00.58.720 E002.34.43.100 H01
N049.00.58.640 E002.34.39.500 H02
N049.00.58.370 E002.34.35.950 H03
N049.00.58.300 E002.34.32.390 H04
N049.00.48.140 E002.34.44.350 H05
N049.00.48.110 E002.34.40.770 H06
N049.00.47.790 E002.34.37.260 H07
N049.00.47.760 E002.34.33.670 H08
N049.00.56.690 E002.34.28.410 H09
N049.00.56.260 E002.34.24.790 H10
N049.00.48.660 E002.34.29.270 H11
N049.00.48.610 E002.34.25.720 H12
N049.00.58.010 E002.34.43.980 H20
N049.00.58.590 E002.34.41.280 H21
N049.00.57.790 E002.34.38.800 H22
N049.00.58.540 E002.34.42.600 H23
N049.00.57.660 E002.34.36.810 H30
N049.00.58.210 E002.34.34.180 H34
N049.00.57.390 E002.34.31.720 H40
N049.00.49.010 E002.34.44.980 H50
N049.00.48.380 E002.34.42.830 H55
N049.00.48.750 E002.34.39.980 H60
N049.00.48.860 E002.34.42.050 H65
N049.00.48.600 E002.34.37.920 H70
N049.00.48.370 E002.34.32.680 H80
N049.00.47.510 E002.34.35.510 H87
N049.00.01.830 E002.32.45.290 M06
N049.00.01.580 E002.32.41.720 M07
N049.00.01.300 E002.32.38.220 M08
N049.00.01.080 E002.32.34.620 M09
N049.00.00.970 E002.32.31.050 M10
N049.00.00.730 E002.32.27.450 M11
N049.00.00.510 E002.32.23.920 M12
N049.00.00.320 E002.32.20.630 M13
N049.00.00.080 E002.32.16.780 M14
N048.59.59.900 E002.32.13.340 M15
N048.59.59.590 E002.32.11.270 M16
N048.59.59.630 E002.32.04.740 M17
N049.00.00.140 E002.32.10.720 M21
N049.00.00.070 E002.32.08.930 M23
N048.59.48.100 E002.31.52.080 N01
N048.59.46.080 E002.31.52.340 N02
N048.59.44.050 E002.31.52.510 N03
N048.59.41.840 E002.31.53.900 N04
N048.59.39.460 E002.31.53.860 N05
N048.59.37.040 E002.31.54.100 N06
N048.59.31.960 E002.31.54.670 N08
N048.59.29.570 E002.31.55.070 N09
N048.59.26.990 E002.31.55.470 N10
N048.59.24.580 E002.31.55.650 N11
N048.59.44.640 E002.31.53.010 N31
N048.59.43.490 E002.31.53.090 N33
N048.59.42.290 E002.31.53.220 N41
N048.59.41.220 E002.31.54.370 N43
N048.59.39.900 E002.31.54.460 N51
N048.59.38.610 E002.31.54.620 N53
N048.59.28.720 E002.31.55.090 N63
N048.59.23.720 E002.31.55.690 N73
N048.59.33.990 E002.32.09.140 P70
N048.59.32.700 E002.32.09.890 P71
N048.59.31.500 E002.32.10.010 P72
N048.59.30.200 E002.32.10.110 P73
N048.59.28.040 E002.32.10.210 P74
N048.59.26.510 E002.32.10.550 P75
N048.59.33.470 E002.32.10.060 P80
N048.59.31.380 E002.32.12.850 P81
N048.59.31.560 E002.32.15.530 P82
N048.59.33.750 E002.32.17.110 P83
N048.59.35.410 E002.32.18.020 P84
N048.59.28.180 E002.32.12.580 P90
N048.59.28.440 E002.32.16.230 P91
N048.59.27.400 E002.32.12.210 P92
N048.59.27.660 E002.32.14.580 P93
N048.59.27.790 E002.32.17.240 P94
N049.00.25.610 E002.33.48.010 B01
N049.00.19.010 E002.33.49.740 B02
N049.00.25.540 E002.33.45.740 B03
N049.00.18.820 E002.33.48.030 B04
N049.00.25.390 E002.33.43.810 B05
N049.00.19.480 E002.33.48.180 B06
N049.00.25.280 E002.33.41.820 B07
N049.00.19.380 E002.33.46.250 B08
N049.00.25.170 E002.33.39.840 B09
N049.00.18.590 E002.33.44.690 B10
N049.00.24.840 E002.33.38.090 B11
N049.00.19.300 E002.33.44.530 B12
N049.00.24.840 E002.33.37.260 B13
N049.00.18.520 E002.33.42.050 B14
N049.00.24.980 E002.33.35.900 B15
N049.00.18.520 E002.33.39.670 B16
N049.00.17.840 E002.33.39.480 B18
N049.00.17.790 E002.33.37.730 B20
N049.00.17.350 E002.33.35.770 B22
N049.00.16.490 E002.33.34.640 B24
N049.00.17.080 E002.33.34.050 B26
N049.00.19.180 E002.34.09.400 D02
N049.00.26.500 E002.34.06.330 D03
N049.00.26.450 E002.34.04.340 D05
N049.00.19.400 E002.34.08.130 D06
N049.00.26.460 E002.34.02.540 D07
N049.00.20.080 E002.34.06.220 D08
N049.00.26.030 E002.34.01.970 D09
N049.00.19.620 E002.34.04.830 D10
N049.00.26.010 E002.34.00.560 D11
N049.00.20.230 E002.34.04.550 D12
N049.00.26.360 E002.33.59.810 D13
N049.00.19.620 E002.34.02.600 D14
N049.00.26.060 E002.33.58.200 D15
N049.00.19.560 E002.33.59.700 D16
N049.00.26.250 E002.33.57.120 D17
N049.00.19.650 E002.33.57.250 D18
N049.00.25.980 E002.33.56.220 D19
N049.00.19.590 E002.33.55.040 D20
N049.00.18.940 E002.33.54.480 D22
N049.00.18.780 E002.33.53.650 D24
N049.00.19.850 E002.34.25.350 F02
N049.00.21.010 E002.34.25.070 F04
N049.00.22.340 E002.34.24.570 F08
N049.00.23.400 E002.34.24.260 F10
N049.00.24.240 E002.34.24.050 F14
N049.00.24.900 E002.34.25.110 F16
N049.00.25.230 E002.34.26.340 F20
N049.00.25.560 E002.34.27.820 F22
N049.00.25.650 E002.34.30.380 F26
N049.00.25.260 E002.34.30.930 F28
N049.00.24.590 E002.34.31.760 F30
N049.00.23.620 E002.34.31.920 F32
N049.00.22.620 E002.34.32.780 F34
N049.00.22.740 E002.34.40.120 F66
N049.00.23.760 E002.34.40.170 F68
N049.00.25.200 E002.34.40.290 F70
N049.00.26.220 E002.34.39.340 F72
N049.00.25.000 E002.34.39.960 F74
N049.00.25.830 E002.34.40.770 F76
N049.00.26.150 E002.34.42.620 F80
N049.00.26.320 E002.34.44.850 F82
N049.00.26.280 E002.34.46.060 F84
N049.00.25.470 E002.34.47.390 F86
N049.00.24.620 E002.34.47.800 F90
N049.00.23.500 E002.34.47.550 F92
N049.00.22.290 E002.34.48.020 F94
N049.00.21.200 E002.34.47.830 F96
N049.00.26.870 E002.35.02.380 F03
N049.00.24.170 E002.35.02.870 F09
N049.00.21.350 E002.35.03.070 F15
N049.00.13.320 E002.35.03.170 E01
N049.00.11.920 E002.35.03.160 E05
N049.00.10.560 E002.35.03.410 E09
N049.00.09.180 E002.35.03.580 E15
N049.00.07.460 E002.35.03.850 E17
N049.00.06.180 E002.35.03.920 E21
N049.00.04.830 E002.35.03.830 E25
N049.00.04.280 E002.35.03.910 E27
N049.00.03.310 E002.35.04.350 E29
N049.00.04.590 E002.34.26.030 E08
N049.00.05.310 E002.34.27.980 E14
N049.00.04.540 E002.34.28.040 E16
