N049.01.04.090 E002.32.22.104 A
N049.00.55.469 E002.32.10.767 A
N049.00.47.432 E002.32.12.013 A
N049.00.42.761 E002.32.16.249 A
N049.00.42.665 E002.32.32.156 A
N049.00.43.074 E002.32.42.435 A
N049.00.47.228 E002.32.48.665 A
N049.01.01.054 E002.32.44.097 A
N049.01.04.391 E002.32.31.429 A
N049.01.00.860 E002.32.13.660 A-1
N049.01.04.340 E002.32.39.980 A-2
N049.01.05.617 E002.32.08.690 DA1
N049.01.02.200 E002.32.09.130 DA1
N049.00.47.435 E002.32.26.265 A3
N049.00.52.397 E002.32.23.424 A3
N049.00.56.538 E002.32.29.737 A3
N049.00.53.160 E002.32.37.462 A3
N049.00.44.460 E002.32.36.132 A3
N049.00.45.390 E002.33.18.293 A4
N049.00.44.300 E002.32.57.810 NA1
N049.00.59.698 E002.32.55.620 N
N049.00.52.113 E002.32.56.683 N
N049.00.45.793 E002.32.58.876 N
N049.00.40.214 E002.33.01.202 N
N049.00.26.547 E002.33.07.514 N
N049.00.18.885 E002.33.10.596 N
N049.00.14.096 E002.33.12.706 N
N049.00.06.966 E002.33.15.788 N
N048.59.57.921 E002.33.19.337 N
N048.59.54.596 E002.33.24.001 N
N048.59.53.265 E002.33.31.302 N
N049.01.03.310 E002.30.56.310 NW1
N049.01.03.650 E002.31.02.550 NW2
N049.01.04.010 E002.31.09.070 NW3
N049.01.04.440 E002.31.16.910 NW4
N049.01.10.770 E002.33.16.443 NE1
N049.01.11.088 E002.33.23.910 NE2
N049.01.11.533 E002.33.31.376 NE3
N049.01.11.979 E002.33.38.746 NE4
N049.00.59.437 E002.33.05.314 F
N049.00.52.520 E002.33.06.450 F
N049.00.46.880 E002.33.08.234 F
N049.00.40.601 E002.33.06.125 F
N049.00.28.257 E002.33.11.641 F
N049.00.18.254 E002.33.15.859 F
N049.00.07.506 E002.33.20.727 F
N049.00.44.470 E002.33.01.865 FN1
N049.00.25.333 E002.33.10.379 FN2
N049.00.19.544 E002.33.13.390 FN3
N049.00.13.110 E002.33.15.680 FN4
N049.00.01.414 E002.33.20.918 FN5
N049.00.26.384 E002.33.20.513 E
N049.00.28.672 E002.33.45.599 E
N049.00.29.871 E002.34.00.883 E
N049.00.30.525 E002.34.13.675 E
N049.00.31.124 E002.34.25.304 E
N049.00.31.669 E002.34.34.857 E
N049.00.32.214 E002.34.44.077 E
N049.00.32.922 E002.34.53.879 E
N049.00.33.358 E002.35.04.345 E
N049.00.33.794 E002.35.15.143 E
N049.00.35.428 E002.35.31.092 E
N049.00.36.055 E002.35.42.814 E
N049.00.27.610 E002.35.43.853 E
N049.00.19.233 E002.35.44.787 E
N049.00.12.626 E002.35.45.618 E
N049.00.08.199 E002.35.46.137 E
N049.00.29.656 E002.34.54.061 G
N049.00.30.004 E002.35.03.830 G
N049.00.31.268 E002.35.26.556 G
N049.00.31.791 E002.35.35.860 G
N049.00.30.179 E002.35.38.451 G
N049.00.25.602 E002.35.38.983 G
N049.00.18.323 E002.35.40.046 G
N049.00.12.438 E002.35.40.777 G
N049.00.08.303 E002.35.41.286 G
N049.00.13.298 E002.33.23.422 G1
N049.00.16.070 E002.33.23.183 G2
N049.00.20.328 E002.33.28.272 G3
N049.00.21.853 E002.33.42.492 G3
N049.00.22.943 E002.34.02.495 G3
N049.00.24.009 E002.34.14.934 G3
N049.00.23.520 E002.34.18.780 G3 East
