N048.32.07.640 W002.51.11.932 TWR
N048.32.04.290 W002.51.24.375 P
N048.32.12.433 W002.51.05.113 P
N048.32.05.109 W002.51.17.882 Terminal
N048.32.11.257 W002.51.03.945 ACB
N048.32.02.828 W002.51.23.343 Hangar
N048.32.07.532 W002.51.17.164 1
N048.32.06.685 W002.51.18.829 2
N048.32.06.085 W002.51.21.039 3
N048.32.08.178 W002.51.21.039 A
N048.32.07.935 W002.51.21.652 B
N048.32.07.599 W002.51.22.585 C
