N048.44.35.424 E002.22.18.871 K81
N048.44.36.210 E002.22.19.918 K08
N048.44.36.223 E002.22.20.760 K82
N048.44.35.817 E002.22.22.751 K04
N048.44.35.085 E002.22.22.957 K02
N048.44.35.356 E002.22.25.646 K01
N048.44.30.769 E002.22.27.529 K18
N048.44.30.769 E002.22.29.743 K19
N048.44.30.769 E002.22.31.860 K20
N048.44.30.769 E002.22.34.074 K21
N048.44.29.478 E002.22.36.512 K22
N048.44.30.663 E002.22.37.635 K23
N048.44.29.499 E002.22.38.694 K24
N048.44.29.222 E002.22.41.605 K25
N048.44.28.653 E002.22.42.262 K26
N048.44.29.466 E002.22.43.433 K27
N048.44.30.969 E002.22.47.929 K42
N048.44.27.012 E002.22.29.971 K30
N048.44.25.572 E002.22.30.818 K31
N048.44.27.028 E002.22.32.101 K32
N048.44.27.401 E002.22.35.309 K33
N048.44.38.811 E002.22.44.787 K36
N048.44.37.118 E002.22.54.732 K37
N048.44.38.091 E002.23.02.656 K38
N048.44.38.112 E002.23.04.677 K39
N048.44.38.112 E002.23.06.731 K40
