N045.49.00.000 E006.01.13.000 ALBY
N045.42.51.000 E005.55.26.000 EY
N045.48.21.000 E005.49.44.000 NL
N045.32.35.000 E005.57.24.000 SB
N045.29.02.000 E006.01.25.000 SM
N045.33.20.000 E005.49.52.000 SW
N045.41.34.000 E005.50.49.000 WA
N045.45.29.000 E005.42.20.000 WB
N045.50.35.000 E005.46.45.000 WC
N045.35.53.000 E005.37.54.000 WG
N046.02.04.000 E006.06.26.000 N
N046.02.41.000 E006.15.27.000 NE
N045.56.07.000 E006.10.05.000 E
