N043.53.56.370 E004.54.09.540 A
N043.54.07.520 E004.54.02.180 A1
N043.54.10.220 E004.54.02.280 A2
N043.54.13.380 E004.54.04.770 B
N043.54.22.770 E004.54.01.350 C
N043.54.32.460 E004.53.58.470 C2
N043.54.47.850 E004.53.54.580 C3
N043.54.52.350 E004.53.51.900 D
N043.54.38.910 E004.54.11.100 E
N043.54.17.720 E004.54.02.240 P
