N044.10.14.773 E000.36.19.742 N044.10.14.726 E000.36.19.798 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.726 E000.36.19.798 N044.10.14.670 E000.36.19.861 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.670 E000.36.19.861 N044.10.14.621 E000.36.19.902 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.621 E000.36.19.902 N044.10.14.572 E000.36.19.952 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.572 E000.36.19.952 N044.10.14.517 E000.36.19.984 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.517 E000.36.19.984 N044.10.14.455 E000.36.20.030 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.455 E000.36.20.030 N044.10.14.386 E000.36.20.071 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.386 E000.36.20.071 N044.10.14.305 E000.36.20.084 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.305 E000.36.20.084 N044.10.14.246 E000.36.20.111 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.246 E000.36.20.111 N044.10.14.168 E000.36.20.116 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.168 E000.36.20.116 N044.10.14.093 E000.36.20.121 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.093 E000.36.20.121 N044.10.14.008 E000.36.20.130 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.14.008 E000.36.20.130 N044.10.13.933 E000.36.20.120 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.13.933 E000.36.20.120 N044.10.13.842 E000.36.20.111 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.13.842 E000.36.20.111 N044.10.13.763 E000.36.20.070 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.13.763 E000.36.20.070 N044.10.12.804 E000.36.19.556 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.12.804 E000.36.19.556 N044.10.39.309 E000.34.49.313 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.39.309 E000.34.49.313 N044.10.40.193 E000.34.49.844 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.193 E000.34.49.844 N044.10.40.279 E000.34.49.904 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.279 E000.34.49.904 N044.10.40.371 E000.34.49.972 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.371 E000.34.49.972 N044.10.40.451 E000.34.50.061 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.451 E000.34.50.061 N044.10.40.537 E000.34.50.170 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.537 E000.34.50.170 N044.10.40.607 E000.34.50.279 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.607 E000.34.50.279 N044.10.40.669 E000.34.50.403 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.669 E000.34.50.403 N044.10.40.718 E000.34.50.571 COLOR_RunwayConcrete ; Piste-11-29-1
N044.10.40.718 E000.34.50.571 N044.10.40.755 E000.34.50.766 COLOR_RunwayConcrete ; Piste-11-29-1
