N046.34.47.567 E000.18.01.451 03
N046.35.51.087 E000.18.55.892 21
N046.34.58.058 E000.18.01.680 03L
N046.34.54.676 E000.18.15.262 03R
N046.35.05.498 E000.18.24.514 21L
N046.35.32.082 E000.18.30.912 21R
N046.35.12.123 E000.18.32.897 A
N046.35.15.235 E000.18.21.579 B
N046.35.08.570 E000.18.32.093 C
N046.35.35.392 E000.18.31.323 D
N046.35.14.266 E000.18.38.898 A1
N046.35.09.324 E000.18.32.480 A2
N046.35.05.556 E000.18.34.641 A3
