;================================================= ~~ LFMM/LFLL/Gates ~~ =================================================;
N045.43.13.413:E005.05.32.740:LFLL Taxiways:V6
N045.43.01.282:E005.05.34.395:LFLL Taxiways:V8
N045.44.45.856:E005.05.05.965:LFLL Taxiways:A1
N045.44.35.193:E005.05.06.744:LFLL Taxiways:A2
N045.44.11.378:E005.05.08.691:LFLL Taxiways:A3
N045.43.47.466:E005.05.11.161:LFLL Taxiways:A4
N045.43.24.688:E005.05.14.815:LFLL Taxiways:A5
N045.43.09.045:E005.05.17.152:LFLL Taxiways:A6
N045.42.56.723:E005.05.18.612:LFLL Taxiways:A8
N045.42.40.250:E005.05.20.266:LFLL Taxiways:A9
N045.43.05.789:E005.05.29.806:LFLL Taxiways:Y
N045.43.04.193:E005.05.13.063:LFLL Taxiways:S6
N045.44.42.055:E005.05.01.377:LFLL Taxiways:T
N045.44.30.832:E005.04.57.575:LFLL Taxiways:T
N045.44.18.611:E005.04.56.244:LFLL Taxiways:T
N045.43.59.656:E005.04.58.525:LFLL Taxiways:T
N045.43.38.581:E005.05.01.187:LFLL Taxiways:T
N045.43.23.045:E005.05.02.923:LFLL Taxiways:T
N045.43.16.021:E005.05.03.799:LFLL Taxiways:T
N045.43.03.252:E005.05.05.259:LFLL Taxiways:T
N045.42.57.505:E005.05.06.232:LFLL Taxiways:T
N045.42.48.346:E005.05.06.956:LFLL Taxiways:T
N045.42.40.958:E005.05.09.447:LFLL Taxiways:T
N045.42.48.346:E005.05.06.956:LFLL Taxiways:T
N045.42.40.958:E005.05.09.447:LFLL Taxiways:T
N045.43.48.356:E005.04.58.236:LFLL Taxiways:TN1
N045.43.45.218:E005.04.58.685:LFLL Taxiways:TN2
N045.43.42.112:E005.04.59.033:LFLL Taxiways:TN3
N045.43.24.034:E005.05.01.226:LFLL Taxiways:TB
N045.43.21.256:E005.05.01.376:LFLL Taxiways:TC
N045.43.10.566:E005.05.00.778:LFLL Taxiways:TD
N045.43.07.877:E005.05.03.363:LFLL Taxiways:K1
N045.43.05.303:E005.05.03.799:LFLL Taxiways:K3
N045.43.00.736:E005.05.03.823:LFLL Taxiways:TL
N045.43.00.621:E005.04.55.568:LFLL Taxiways:TL
N045.42.50.811:E005.05.02.959:LFLL Taxiways:TJ
N045.42.51.449:E005.04.53.833:LFLL Taxiways:TJ
N045.43.15.996:E005.04.58.372:LFLL Taxiways:R1
N045.43.06.393:E005.04.54.400:LFLL Taxiways:R2
N045.42.56.688:E005.04.48.949:LFLL Taxiways:R3
N045.42.52.142:E005.04.43.186:LFLL Taxiways:R4
N045.42.37.787:E005.05.11.314:LFLL Taxiways:TM
N045.42.28.939:E005.05.09.931:LFLL Taxiways:TM
N045.42.22.554:E005.05.09.444:LFLL Taxiways:TM
N045.43.50.124:E005.05.01.361:LFLL Taxiways:T3
N045.43.33.064:E005.05.03.152:LFLL Taxiways:T4
N045.43.26.168:E005.05.04.164:LFLL Taxiways:T5
N045.42.52.874:E005.05.08.177:LFLL Taxiways:T6
N045.43.11.265:E005.05.07.239:LFLL Taxiways:A6
N045.42.56.167:E005.05.08.994:LFLL Taxiways:A8
N045.43.08.173:E005.05.10.772:LFLL Taxiways:S6-N
N045.42.59.699:E005.05.11.809:LFLL Taxiways:S6-S
