N045.55.23.856 E006.05.35.489 A
N045.55.32.950 E006.05.45.819 B
N045.55.56.435 E006.06.13.848 C
N045.56.04.384 E006.06.23.260 D
N045.55.32.753 E006.05.53.231 G1
N045.55.34.750 E006.05.58.434 B
N045.55.38.983 E006.06.00.309 G2
N045.55.40.479 E006.06.03.445 T
N045.55.46.445 E006.06.08.685 G3
N045.55.51.798 E006.06.14.832 G4
