COLOR_GrasSurface          
N044.50.00.191 W000.44.01.514
N044.49.58.163 W000.44.05.098


COLOR_Terrain1           
N044.49.32.924 W000.43.11.916
N044.49.32.925 W000.43.12.285
N044.49.32.946 W000.43.12.664
N044.49.32.995 W000.43.13.042
N044.49.33.049 W000.43.13.282
N044.49.33.125 W000.43.13.506
N044.49.34.201 W000.43.15.821
N044.49.34.521 W000.43.16.455
N044.49.34.790 W000.43.16.938
N044.49.35.027 W000.43.17.319
N044.49.35.282 W000.43.17.663
N044.49.35.573 W000.43.18.016
N044.49.35.863 W000.43.18.326
N044.49.36.069 W000.43.18.531
N044.49.36.311 W000.43.18.739
N044.49.36.553 W000.43.18.948
N044.49.36.810 W000.43.19.145
N044.49.37.044 W000.43.19.299
N044.49.37.275 W000.43.19.435
N044.49.37.548 W000.43.19.574
N044.49.37.841 W000.43.19.711
N044.49.38.029 W000.43.19.789
N044.49.38.303 W000.43.19.897
N044.49.38.530 W000.43.19.975
N044.49.38.760 W000.43.20.035
N044.49.38.978 W000.43.20.095
N044.49.39.250 W000.43.20.141
N044.49.39.498 W000.43.20.161
N044.49.39.808 W000.43.20.180
N044.49.39.883 W000.43.20.168
N044.49.39.948 W000.43.20.140
N044.49.40.036 W000.43.20.082
N044.49.40.327 W000.43.19.872
N044.49.40.676 W000.43.19.602
N044.49.41.054 W000.43.19.314
N044.49.41.560 W000.43.18.925
N044.49.42.033 W000.43.18.566
N044.49.42.422 W000.43.18.258
N044.49.42.804 W000.43.17.967
N044.49.43.042 W000.43.17.852
N044.49.43.332 W000.43.17.740
N044.49.45.871 W000.43.16.755
N044.49.45.987 W000.43.16.669
N044.49.46.123 W000.43.16.484
N044.49.46.225 W000.43.16.321
N044.49.46.329 W000.43.16.116
N044.49.46.422 W000.43.15.854
N044.49.46.520 W000.43.15.535
N044.49.46.627 W000.43.15.160
N044.49.47.277 W000.43.18.183
N044.49.41.052 W000.43.20.677
N044.49.40.706 W000.43.20.771
N044.49.40.367 W000.43.20.854
N044.49.40.033 W000.43.20.886
N044.49.39.691 W000.43.20.874
N044.49.39.373 W000.43.20.842
N044.49.39.064 W000.43.20.803
N044.49.38.700 W000.43.20.726
N044.49.38.420 W000.43.20.645
N044.49.38.157 W000.43.20.552
N044.49.37.831 W000.43.20.415
N044.49.37.586 W000.43.20.306
