N045.51.10.013 E001.10.22.024 03
N045.52.11.716 E001.11.20.023 21
N045.51.17.887 E001.10.22.844 S
N045.51.31.960 E001.10.30.479 H
N045.51.38.670 E001.10.39.306 G
N045.51.42.003 E001.10.44.590 C
N045.51.45.040 E001.10.43.657 N
N045.51.43.659 E001.10.43.778 N1
N045.51.39.510 E001.10.41.487 G1
N045.51.35.946 E001.10.38.050 G2
N045.51.35.609 E001.10.34.281 G3
N045.51.33.233 E001.10.35.402 S1
