N045.51.34.097 E001.10.29.709 ACB
N045.51.36.626 E001.10.33.770 1L
N045.51.36.902 E001.10.33.226 2L
N045.51.37.178 E001.10.32.648 3L
N045.51.35.204 E001.10.35.597 Pélicandrome
N045.51.39.922 E001.10.36.931 1A
N045.51.41.743 E001.10.38.666 2A
N045.51.43.663 E001.10.40.355 3A
N045.51.44.946 E001.10.41.926 1T
N045.51.47.045 E001.10.44.801 1P
N045.51.46.867 E001.10.43.968 2P
N045.51.47.399 E001.10.43.579 3P
N045.51.47.468 E001.10.42.759 4P
N045.51.48.000 E001.10.42.620 5P
