N043.35.10.000 E004.52.59.000 N4
N043.38.29.000 E004.55.00.000 N5
N043.34.45.000 E004.58.37.000 NE
N043.38.45.000 E004.44.58.000 NW
N043.33.23.000 E004.43.14.000 NW1
N043.19.28.000 E005.10.20.000 S
N043.26.23.000 E004.25.23.000 SB
N043.24.52.000 E004.41.23.000 SG
N043.12.38.000 E005.18.07.000 SC
N043.22.31.000 E004.49.47.000 SD
N043.27.26.000 E005.01.56.000 S3
N043.27.51.000 E004.59.09.000 S4
N043.19.28.000 E005.02.30.000 SW
N043.24.26.000 E005.03.27.000 W2
N043.28.54.000 E004.48.09.000 W3
